period_start,period_end,namespace,persistentvolumeclaim_usage_bytes
2020-02-08 14:00:00 +0000 UTC,2020-02-08 15:00:00 +0000 UTC,openshift-metering,2070528000.000000
2020-02-08 14:00:00 +0000 UTC,2020-02-08 15:00:00 +0000 UTC,tnhlex-dev,20345733120.000000
2020-02-08 15:00:00 +0000 UTC,2020-02-08 16:00:00 +0000 UTC,openshift-logging,11290186833920.000000
2020-02-08 15:00:00 +0000 UTC,2020-02-08 16:00:00 +0000 UTC,openshift-metering,2073686016.000000
2020-02-08 15:00:00 +0000 UTC,2020-02-08 16:00:00 +0000 UTC,tnhlex-dev,20357320704.000000
2020-02-08 16:00:00 +0000 UTC,2020-02-08 17:00:00 +0000 UTC,openshift-logging,11316705599488.000000
2020-02-08 16:00:00 +0000 UTC,2020-02-08 17:00:00 +0000 UTC,openshift-metering,2133688320.000000
2020-02-08 16:00:00 +0000 UTC,2020-02-08 17:00:00 +0000 UTC,tnhlex-dev,20368838656.000000
2020-02-08 17:00:00 +0000 UTC,2020-02-08 18:00:00 +0000 UTC,openshift-logging,11400856842240.000000
2020-02-08 17:00:00 +0000 UTC,2020-02-08 18:00:00 +0000 UTC,openshift-metering,2133688320.000000
2020-02-08 17:00:00 +0000 UTC,2020-02-08 18:00:00 +0000 UTC,tnhlex-dev,20380340224.000000
2020-02-08 18:00:00 +0000 UTC,2020-02-08 19:00:00 +0000 UTC,openshift-logging,11439640252416.000000
2020-02-08 18:00:00 +0000 UTC,2020-02-08 19:00:00 +0000 UTC,openshift-metering,2133688320.000000
2020-02-08 18:00:00 +0000 UTC,2020-02-08 19:00:00 +0000 UTC,tnhlex-dev,20391911424.000000
2020-02-08 19:00:00 +0000 UTC,2020-02-08 20:00:00 +0000 UTC,openshift-logging,11541896126464.000000
2020-02-08 19:00:00 +0000 UTC,2020-02-08 20:00:00 +0000 UTC,openshift-metering,2133688320.000000
2020-02-08 19:00:00 +0000 UTC,2020-02-08 20:00:00 +0000 UTC,tnhlex-dev,20403372032.000000
2020-02-08 20:00:00 +0000 UTC,2020-02-08 21:00:00 +0000 UTC,openshift-logging,11560457166848.000000
